respond	context_0
Once every 6.3 seconds, a man says something stupid that another man hears and punishes him for...Luckily, this wasn't	I still think I was right.
Oh, no.	That's it!
I don't need Dr. Cox. Big jerk. I hate him.	The Hallway of the Unit
Just look at my badge!	So I hear. Well, anyway, I'm very proud of you, Dr... uhmmmmmm......
Oh, no, this this is my roommate's badge, sir; we must have switched this morning. We were b	Dr. Turk!
That'd be terrific, sir!	In a moment. If you will promise to go easy on the stories, I'd love for you to join me for a round of golf tomorrow.
Well, maybe that's the problem, maybe you're just approaching things too clinically.	Please, it's been done to death.I don't get it; I've done everything by the book.
Have you ever tried treating your patients with something other than traditional medicine?	Mmm! With rich, cliché centers?
Look, all I'm saying is, there's more to healing than what's in the books. I talk to my patients, I I sing to them......Ask them what their hobbies are; and tell them ghost stories about an old sea captain.	Now all I gotta do is find time to get outta here and maybe I'll buy her one.
Look at that. And all it took was a visit from The Rock.	Wow! Look at that white blood cell count!
Every time I think something, the opposite happens.... I am so not having sex this weekend.	Yeah, sure.
Look at him, pretending like yesterday never happened. Well, if he thinks I'm gonna forgive him without so much as a	Really, when did he give it to you?
I accept!	Anyway, newbie, the reason I was all bent outta shape yesterday
Is it really that bad?	Don't interrupt me. Come here;Pull that curtain. Mrs. Blitt over there needs the TIPS procedure, no insurance? Yeah, well, she can now look forward to a lifetime of encephalopathy and jaundice thanks to Bottom-Line Bob.
Totally.	I...hate...Robert Kelso. I hate his family, I hate his friends, I hate the guy that cleans his vaguely racist little lawn jockey; in fact, I hate anybody who ever even associates with him. Is that clear?
Okay, relax, it's just a friendly game of golf with a couple of guys from work.	A tee or some tea, sir? because I brought both.
Ignore him. Just let your game do all the talking.	For the record, no, I'm not a hypocrite for being here. What's your pathetic excuse, you whiny, little suck-up.
It's just a technicality.	You're fine.Today's the day I finally beat his uppity, insubordinate Eh! Great shot, doctor! You see, son, I always say, "Keep your friends close, and your enemies closer." You believe him? You're away and yet he hit first.
Argh!ARGH!	It's about what's best for the hospital.
That's true.	Dude, at least you didn't give your girlfriend a gift that used to be inside of someone.
How many has she had?	I have magic breasts.
You're right.	Almost one. You know what, Cox doesn't need your help taking her down for a TIPS procedure. As a matter of fact, he shouldn't even be putting you in that situation!
Hell no!	Hell, yeah, I'm right! Screw Cox! ....I mean, you're not afraid of him, are you?
....Okay, maybe a little.	The Hospital Hallway
That's three!	That's four.
Unfortunately, that was the moment I realized how Dr. Kelso truly saw these people.	Mm-hmm.
You know that's not even a real disease?	Well, I'm afraid I have just an awful case of the 'gotta see 'ems.'
Oh, come on. Yes, exposing yourself to a dead guy might have been a tad unorthodox; and yes, it might be a little hard to live down....	At what point did I become a crazy person?
So is everyone else around here.Oh, that's not funny.	I'm waiting for the "but."
Come on. When I look at you, I look at a doctor who'll do whatever it takes to help a patient.	Thanks. Glad I shared.
Yeah, really.	Really?
And...on that note....	Yeah, really.
I just want you to know, if you still want my help, I'm on board.	The Admissions Area
So it was all a test.	What, are you kidding? It's way too big of a risk for a peon. Okay I just wanted to see what team you were playing for.
I know it sounds melodramatic, but in my mind, as I watched the two of them, they weren't battling for patients or insurance... they were battling for my soul.	I I'm arrogant?
It's an old story, really good versus bad, right versus wrong... the Dark Side versus The Light...	I've got you this time, Cox. I can taste it!
NO!!!	I hope you learn from this.
Actually, sir, I'm not really that in to golf.	You're suspended! Effective immediately.Well, sport, it looks like a permanent spot just opened up on the golf course. How does joining the Chief of Medicine for a weekly round sound?
I think I liked it better when he didn't know my name.	Well, I guess that's your choice, isn't it... Dr. Dorian.
Owww.	That's one for me.
I'm hurt.	That's two.
It was weird knowing that my mentor could be fired by this time tomorrow. But there's no reason to feel any less confident; I'll be fine without a safety net.	Dr. Cox, if you need to talk
That can't be true. I hate that expression.	I'm assigning you to a very important board member whose family built this hospital with their bare hands.
What happened?	But for hypertrophic cardio-myopathy.
So this board member almost fainted? I'll fire up the paddles.	Pre-syncope.
Sir, I'm confused.	Ah! Dr. Wisenheimer's back; how was your ski trip?
Oh, now I get it.	You annoy me.
Oh, great, an eighty-year-old, grouchy, pretentious	But you have this nauseating charm everyone else around here seems to respond to. Use it, okay, sport?
I'm so sorry.	That would be my father. He died.
Oh. I woulda said sorry back then, but I had a little trouble with my S's....I was five.... S's.... So... uh... how are you feeling?	...Twenty years ago.
J.D.	Great. That's why I'm here. Listen, R.J.
How sweet.	Like it matters. Look, you seem like a nice, spineless little boy, so let's be honest. I'm here because it was the only way to end my beast of a mother's nagging, pseudo-concern.
Okay, well let me just check out	So, do your little tests; but first, close the blinds, wash off whatever eighth-grade dance cologne you're wearing so we don't add nausea to my symptoms, and I'll need lemon wedges for my sparkling water which, for some reason, you have yet to get me.
Nice to meet you.	Doing things I want first, your little tests later.
I hate you.	Nice to meet you.
Oh, no, I just... I-I like your shirt. Wh-what-what kind of shirt is that?	What are you looking at?
I knew it! Heh.	It's a white t-shirt.
"What kind of shirt is that." I am-I am such an idiot!	I'm just in a much better place, you know? Do I look different?
Miss Sullivan? Oh, I'm I'm sorry, I didn't realize that you were in the bathroom.	Just keep moving....Refocus; think about helping Dr. Cox.
Look, I know that you're on the Board, and I have this friend well, he's not really a friend, he's more like a mentor....	It's okay, come on in.I meant, come in the room, not in here. What's the matter with you? Are you even a real doctor?
Sorry. He's a.... Wait, wait, wh-why are you dressed?	Losing interest!
That's it!	Oh, I'm going to a party. I assume my tests are normal, or else you wouldn't be chatting me up.But, gosh, Huckleberry, I sure hope we can go down to the river sometime and race frogs!
Listen, you spoiled, bossy, chore of a woman.	That's it!
You're in now, go for it.	I'm sorry, what'd you just say?
I'm the doctor, here. So put your gown back on, get back in bed, and shut the hell up.	You're in now, go for it.
Well, get used to it...missy.Uhm... I didn't mean to be such a hard-ass just now. You can totally wait until I'm gone to put your gown back on.	No one talks to me that way!
Yes, ma'am.	Take off your pants.
The beginning of any relationship is really about three things: Control...	More.
Oh, God.	The beginning of any relationship is really about three things: Control...
...Dependence...	Oh, God.
...And timing.	He was released a couple-a hours ago.
Other than that, there aren't really a whole lot of surprises.	Your mother broke her leg.
Oh, Dr. Cox, have you met	Other than that, there aren't really a whole lot of surprises.
Oh, no, no.	Hello, Jordan.
"Perry"?	Perry.
I never heard that, I'm not here, and I don't have your ex-wife's bite mark on my neck.	You never heard that.
