respond	context_0	context_1	context_2
Actually, sir, I'm not really that in to golf.	You're suspended! Effective immediately.Well, sport, it looks like a permanent spot just opened up on the golf course. How does joining the Chief of Medicine for a weekly round sound?	NO!!!	I hope you learn from this.
I think I liked it better when he didn't know my name.	Well, I guess that's your choice, isn't it... Dr. Dorian.	Actually, sir, I'm not really that in to golf.	You're suspended! Effective immediately.Well, sport, it looks like a permanent spot just opened up on the golf course. How does joining the Chief of Medicine for a weekly round sound?
Owww.	That's one for me.	I think I liked it better when he didn't know my name.	Well, I guess that's your choice, isn't it... Dr. Dorian.
I'm hurt.	That's two.	Owww.	That's one for me.
What happened?	But for hypertrophic cardio-myopathy.	That can't be true. I hate that expression.	I'm assigning you to a very important board member whose family built this hospital with their bare hands.
So this board member almost fainted? I'll fire up the paddles.	Pre-syncope.	What happened?	But for hypertrophic cardio-myopathy.
Sir, I'm confused.	Ah! Dr. Wisenheimer's back; how was your ski trip?	So this board member almost fainted? I'll fire up the paddles.	Pre-syncope.
Oh, now I get it.	You annoy me.	Sir, I'm confused.	Ah! Dr. Wisenheimer's back; how was your ski trip?
Oh, great, an eighty-year-old, grouchy, pretentious	But you have this nauseating charm everyone else around here seems to respond to. Use it, okay, sport?	Oh, now I get it.	You annoy me.
J.D.	Great. That's why I'm here. Listen, R.J.	Oh. I woulda said sorry back then, but I had a little trouble with my S's....I was five.... S's.... So... uh... how are you feeling?	...Twenty years ago.
How sweet.	Like it matters. Look, you seem like a nice, spineless little boy, so let's be honest. I'm here because it was the only way to end my beast of a mother's nagging, pseudo-concern.	J.D.	Great. That's why I'm here. Listen, R.J.
Okay, well let me just check out	So, do your little tests; but first, close the blinds, wash off whatever eighth-grade dance cologne you're wearing so we don't add nausea to my symptoms, and I'll need lemon wedges for my sparkling water which, for some reason, you have yet to get me.	How sweet.	Like it matters. Look, you seem like a nice, spineless little boy, so let's be honest. I'm here because it was the only way to end my beast of a mother's nagging, pseudo-concern.
Nice to meet you.	Doing things I want first, your little tests later.	Okay, well let me just check out	So, do your little tests; but first, close the blinds, wash off whatever eighth-grade dance cologne you're wearing so we don't add nausea to my symptoms, and I'll need lemon wedges for my sparkling water which, for some reason, you have yet to get me.
I knew it! Heh.	It's a white t-shirt.	Oh, no, I just... I-I like your shirt. Wh-what-what kind of shirt is that?	What are you looking at?
Sorry. He's a.... Wait, wait, wh-why are you dressed?	Losing interest!	Look, I know that you're on the Board, and I have this friend well, he's not really a friend, he's more like a mentor....	It's okay, come on in.I meant, come in the room, not in here. What's the matter with you? Are you even a real doctor?
That's it!	Oh, I'm going to a party. I assume my tests are normal, or else you wouldn't be chatting me up.But, gosh, Huckleberry, I sure hope we can go down to the river sometime and race frogs!	Sorry. He's a.... Wait, wait, wh-why are you dressed?	Losing interest!
You're in now, go for it.	I'm sorry, what'd you just say?	Listen, you spoiled, bossy, chore of a woman.	That's it!
Well, get used to it...missy.Uhm... I didn't mean to be such a hard-ass just now. You can totally wait until I'm gone to put your gown back on.	No one talks to me that way!	I'm the doctor, here. So put your gown back on, get back in bed, and shut the hell up.	You're in now, go for it.
Yes, ma'am.	Take off your pants.	Well, get used to it...missy.Uhm... I didn't mean to be such a hard-ass just now. You can totally wait until I'm gone to put your gown back on.	No one talks to me that way!
...Dependence...	Oh, God.	The beginning of any relationship is really about three things: Control...	More.
...And timing.	He was released a couple-a hours ago.	...Dependence...	Oh, God.
Other than that, there aren't really a whole lot of surprises.	Your mother broke her leg.	...And timing.	He was released a couple-a hours ago.
I never heard that, I'm not here, and I don't have your ex-wife's bite mark on my neck.	You never heard that.	"Perry"?	Perry.
Okay, when dealing with a crisis, everyone knows that you go right to the source.God, the source is pretty.	Maybe that'll teach you not to spy on people during their alone time!	Ugh!	Happy Halloween.
Okay... 'Jordan'Uh... I just don't think we should see each other again.	Honey, I think we're way past "Miss Sullivan".	Miss Sullivan? Excuse me, Miss Sullivan.	Okay, when dealing with a crisis, everyone knows that you go right to the source.God, the source is pretty.
I am so sorry.	The story of my life. Anytime I let my guard down just a little, I get hurt.	Okay... 'Jordan'Uh... I just don't think we should see each other again.	Honey, I think we're way past "Miss Sullivan".
She's gonna be okay.	You know how long it's been since I connected with someone? You know, it's not fair that just because of him I don't get to spend time Boy, it's hard to keep that going! See ya, D.J., I got a date...."See each other again"...	I am so sorry.	The story of my life. Anytime I let my guard down just a little, I get hurt.
...Ask?	No!	Come on, she's on the board! Deep down, I'm sure she's a reasonable person.... Not that I know her that well, or at all, or have ever been alone with her.... But I'm sure if you just	Uhhh.... Things that ruined my life. Things that took half my money. Things with sharp edges!
I wonder if he wants me to ask her?	I'm gonna go ahead and do this just as slowly as possible so you don't misunderstand: Nnnnnnnnnnnnnnnnnnnooooooooooooooooooooooo.	...Ask?	No!
That's a "no".	Fine. I'll ask her.	I wonder if he wants me to ask her?	I'm gonna go ahead and do this just as slowly as possible so you don't misunderstand: Nnnnnnnnnnnnnnnnnnnooooooooooooooooooooooo.
Oh, thanks, that's that's special. Look, I have to ask you a favor, but you have to know this is not why we slept together.	I don't dislike you I nothing you.	Jordan!Look, I know you're on your way to the board meeting, and I know you don't really like me, but	Or I could get back to the problem at hand.
I think we both know that's not completely true.	Yeah, you had nothing to do with why we slept together.	Oh, thanks, that's that's special. Look, I have to ask you a favor, but you have to know this is not why we slept together.	I don't dislike you I nothing you.
Please don't do that.	Oh, please. Even though you're terrified the Good Dr. Cox'll find out, if I wanted you to go to his apartment right now and have sex with me in front of him, you would.	I think we both know that's not completely true.	Yeah, you had nothing to do with why we slept together.
Then, Jordan, look into your heart and see if you can dig up some sympathy for someone who means a whole lot to me; and probably means a little to you, too.So will you help him?	You know, you remind me of him when he was younger.	Please don't do that.	Oh, please. Even though you're terrified the Good Dr. Cox'll find out, if I wanted you to go to his apartment right now and have sex with me in front of him, you would.
...New issues.	I'm watching that.	Whatever the reason, it made me realize that every ending leads to new complications.......New problems to be dealt with.	Oh, listen here, pumpkin, if you're honestly having this much trouble getting over me, just go ahead and give me a call and I'll toss you a sympathy throw-down anytime.
It felt good.	Well, geez, Agnes, does the field hockey team know that you're missing?	I'll always remember that moment as the first "thank you" I got from Dr. Cox.	Look, I don't think you realize how important you are to some people around here.
Stick with the truth, and you can't get hurt; it's just always been my philosophy.	Although, it did take some stones to be honest.	It felt good.	Well, geez, Agnes, does the field hockey team know that you're missing?
